,Model,Train R-square,Test R-square,Train MSE,Test MSE,Train MAE,Test MAE,Train MAPE,Test MAPE,Train Adj. R-square,Test Adj. R-square,Cross_Validation_Scores_for_trainset
0,Random Forest,0.9818371259308861,0.8689934351037182,29.706424606259425,180.40535203578779,2.427831832341796,6.553674911200595,2.3594576482228473,6.953122570470784,0.9797994627735479,0.8286454056109469,"[0.919701881126636, 0.6861273300340971, 0.9426428252634094, 0.7558352605951923, 0.9526265645388582]"
1,XG Boost Regressor,0.9999592070121928,0.9074716455513379,0.0667192764838754,127.41812115155162,0.04712011653837167,5.46428078018065,0.0338107202847011,5.882555115222458,0.9999546305135607,0.8789743196565027,"[0.96118845265017, 0.9496411506557066, 0.9740240281588488, 0.8451060459293435, 0.9724361560463467]"
2,Linear Regression,0.9990558536787442,-44519512178.00592,1.5442055812828206,61306532794548.914,0.28880189661462485,421545.5218494808,0.24373907159443028,593725.6518280376,0.9989499314460271,-58230844826.292915,"[-37651833238635.88, -4.6507595071427014e+17, -1.4243458054496794e+17, -7000634832425448.0, -6672396347528.181]"
3,Lasso Regression,0.9989741526720255,0.9804085961636616,1.6778322742340412,26.978755673565608,0.3699897798903971,0.8361757482611745,0.35572977500313274,1.2620852761931123,0.9988590645368927,0.9743747417501886,"[0.9997243502019562, 0.8511847794345002, 0.9977367528239985, 0.9675550606636336, 0.9990727934674446]"
4,Ridge Regression,0.999043792673669,0.9781159502634487,1.5639320483924681,30.1358920434015,0.2903210887685127,0.7881996533263335,0.253704570929038,0.9705243901312086,0.9989365173365045,0.9713759957818492,"[0.9996997271154792, 0.9769963734702286, 0.9935219877910548, 0.9941116153377747, 0.8907822869788147]"
5,ElasticNet Regression,0.9953675022849049,0.963961854325812,7.576716305386836,49.62708824718899,1.1152065440463412,1.927420249753961,1.1905482274262094,3.2195690448786904,0.9948477899373666,0.9528626535668416,"[0.9999061207078912, 0.9950067981682404, 0.9817430539303081, 0.7804457886148743, 0.9993773651781277]"
6,KNN Regressor,0.9699719881080622,0.8607895967898636,49.112539565564084,191.70262053700648,3.5997603169402983,7.65417579084058,3.372634777915041,8.308220216235798,0.9666031945301577,0.8179149098696314,"[0.8440953614882337, 0.9175158005556205, 0.8184949700525507, 0.91478007691742, 0.8194657264315162]"
