,Model,Train R-square,Test R-square,Train MSE,Test MSE,Train MAE,Test MAE,Train MAPE,Test MAPE,Train Adj. R-square,Test Adj. R-square,Cross_Validation_Scores_for_trainset
0,Random Forest,0.984104018228071,0.8850324286004205,25.571222166401693,166.53205652578066,2.3211849598372676,6.07035015785273,2.3907840478940185,5.962795936103187,0.9823206740126608,0.849624165165569,"[0.9298623463317078, 0.8866975965188556, 0.7563247476575004, 0.7648620956211918, 0.9328263856066201]"
1,XG Boost Regressor,0.9999792747034055,0.9525526091011364,0.033339945357609556,68.72817688483654,0.030011308684568163,4.256211841254429,0.022030626264456458,4.681820069657363,0.9999769495662529,0.937939534337608,"[0.8896790625950936, 0.9065053561288304, 0.8671022862203, 0.9437052358188099, 0.9532243334554783]"
2,Linear Regression,0.9942311809839092,-2.7937114189311898e+19,9.280065542017768,4.0467281536041e+22,0.5579922052363232,18720002803.305496,0.4769538303390414,30440921695.03228,0.9935839866067577,-3.654132046054484e+19,"[-4.872215683311764e+16, -127503855332.05826, -3.2800107566930625e+19, -1.827052110402277e+17, -11237683970.584044]"
3,Lasso Regression,0.9941221431651805,0.9951727094253892,9.455470265504237,6.992394612246352,0.6034053470578764,0.8600175716289137,0.5848062797006026,0.8339861745174019,0.9934627160133518,0.993685977347277,"[0.9669871563193833, 0.9990823626429628, 0.9992822325665168, 0.9989952594029695, 0.9971289007282138]"
4,Ridge Regression,0.9942010740411741,0.9940160317311125,9.328497361610776,8.66785763908456,0.5216311196200054,0.8336477444570154,0.45274987744977774,0.8602277332915603,0.9935505020153225,0.9921730605152195,"[0.9774786625894533, 0.9997186989727981, 0.9967652078073401, 0.9799304424985936, 0.9683152194010263]"
5,ElasticNet Regression,0.9906174861286265,0.9900546204446312,15.093270118610791,14.406014584135793,1.2975561282588293,1.686178819869837,1.44804024578811,1.8486658071707445,0.9895648772316996,0.9869915948021032,"[0.9969291660096653, 0.9992510052054169, 0.9970487288611918, 0.9117993447644279, 0.9535321808702851]"
6,KNN Regressor,0.9671490100057227,0.9045657787402303,52.84605729816248,138.23773900632264,3.7699741585696516,6.920855546057971,3.7335210392886524,6.713520695925514,0.9634635111282484,0.875173490063267,"[0.8415303461161754, 0.8081040768811929, 0.8890985717453112, 0.8524497960495672, 0.7234667267415781]"
