Alloy,S_Phase,BulkModulus (GPa),AM,IM,SS,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,I,In,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ne,Ni,Ns,O,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr
Al2.08CoCrFeNi,SS+IM,139.4868421,0,1,1,0,0.342105263,0,0,0,0,0,0,0,0,0,0,0,0,0.164473684,0.164473684,0,0,0,0,0,0,0.164473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al0.43CoCr0.29NiSi0.14,SS+IM,158.4195804,0,1,1,0,0.15034965,0,0,0,0,0,0,0,0,0,0,0,0,0.34965035,0.101398601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34965035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048951049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlCo0.2CuFeNi,SS+IM,143.3333333,0,1,1,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0.238095238,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlCo0.5CuFeNi,SS+IM,145.7777778,0,1,1,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.222222222,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlCo1.5CuFeNi,SS+IM,152,0,1,1,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0,0,0.181818182,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlCo2CuFeNi,SS+IM,154.3333333,0,1,1,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al0.6CoFeNiTi0.4,SS+IM,154.9,0,1,1,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
Al0.9CrCuFeNi,SS+IM,146.6122449,0,1,1,0,0.183673469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204081633,0,0.204081633,0,0,0,0,0.204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al1.2CrCuFeNi,SS+IM,142.5384615,0,1,1,0,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692,0,0.192307692,0,0,0,0,0.192307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al1.5CrCuFeNi,SS+IM,138.9090909,0,1,1,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0.181818182,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al1.8CrCuFeNi,SS+IM,135.6551724,0,1,1,0,0.310344828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172413793,0,0.172413793,0,0,0,0,0.172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al2.0CrCuFeNi,SS+IM,133.6666667,0,1,1,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al2.2CrCuFeNi,SS+IM,131.8064516,0,1,1,0,0.35483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161290323,0,0.161290323,0,0,0,0,0.161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al2.5CrCuFeNi,SS+IM,129.2307692,0,1,1,0,0.384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0,0.153846154,0,0,0,0,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlCrFeMo0.2Ni,SS+IM,150.4761905,0,1,1,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238095238,0,0,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlCrFeNiMo,SS+IM,163.2,0,1,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlCrFeNiMo0.8,SS+IM,160.4166667,0,1,1,0,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208333333,0,0,0,0,0,0,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlCr1.5NbTiV,SS+IM,137.4545455,0,1,1,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0.181818182,0,0,0,0,0
AlCrNbTiV,SS+IM,135.2,0,1,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0
Al16CuLiMgZn,SS+IM,74.1,0,1,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
Al8Cu0.5Li0.5Mg0.5Zn0.5,SS+IM,74.1,0,1,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
Al16LiMgSnZn,SS+IM,70,0,1,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0
Al8Li0.5Mg0.5Sn0.5Zn0.5,SS+IM,70,0,1,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0
AlLi0.5MgSn0.2Zn0.5,SS+IM,54.09375,0,1,1,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15625,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.15625,0
AlLiMgSnZn,SS+IM,52,0,1,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0
Co0.5CrFeMn1.5Ni ,SS+IM,156,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCrFeMo0.5Ni,SS+IM,178.8888889,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCrFeMo0.85Ni,SS+IM,182.5773196,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206185567,0.206185567,0,0,0,0,0,0,0.206185567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175257732,0,0,0,0,0,0.206185567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCrFeNb0.103Ni,SS+IM,172.437241,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243724104,0.243724104,0,0,0,0,0,0,0.243724104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025103583,0,0,0.243724104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCrFeNb0.155Ni,SS+IM,172.4067389,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240673887,0.240673887,0,0,0,0,0,0,0.240673887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037304452,0,0,0.240673887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCrFeNb0.206Ni,SS+IM,172.3775559,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237755587,0.237755587,0,0,0,0,0,0,0.237755587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048977651,0,0,0.237755587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCrFeNb0.309Ni,SS+IM,172.3207241,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232072407,0.232072407,0,0,0,0,0,0,0.232072407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071710374,0,0,0.232072407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCrFeNb0.412Ni,SS+IM,172.2665458,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226654578,0.226654578,0,0,0,0,0,0,0.226654578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093381686,0,0,0.226654578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCr2FeNiAl0.3,SS+IM,164.6792453,0,1,1,0,0.056603774,0,0,0,0,0,0,0,0,0,0,0,0,0.188679245,0.377358491,0,0,0,0,0,0,0.188679245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188679245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCrFeNiNb0.65,SS+IM,172.1505376,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215053763,0.215053763,0,0,0,0,0,0,0.215053763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139784946,0,0,0.215053763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co0.5CrFeNiTi0.5,SS+IM,163.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0
Co1.5CrFeNi1.5Ti,SS+IM,163.3333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.166666667,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0
CoCrFeNiTi0.3,SS+IM,168.1395349,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23255814,0.23255814,0,0,0,0,0,0,0.23255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069767442,0,0,0,0,0,0,0,0
CoCuFeNiSn0.04,SS+IM,166.4158416,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247524752,0,0,0.247524752,0,0,0,0,0.247524752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247524752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCuFeNiSn0.05,SS+IM,166.1481481,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24691358,0,0,0.24691358,0,0,0,0,0.24691358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24691358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCuFeNiSn0.07,SS+IM,165.6167076,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245700246,0,0,0.245700246,0,0,0,0,0.245700246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245700246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017199017,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCuFeNiSn0.1,SS+IM,164.8292683,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243902439,0,0,0.243902439,0,0,0,0,0.243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCuFeNiSn0.2,SS+IM,162.2857143,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238095238,0,0,0.238095238,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0
CoCuFeNiSn0.5,SS+IM,155.3333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0.222222222,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
CoFeMnMoNi,SS+IM,176,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoFeMo0.2NiV,SS+IM,175.2380952,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238095238,0,0,0,0,0
CoFeMo0.4NiV,SS+IM,177.7272727,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227272727,0,0,0,0,0,0,0,0.227272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0.227272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227272727,0,0,0,0,0
CoFeMo0.6NiV,SS+IM,180,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217391304,0,0,0,0,0,0,0,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130434783,0,0,0,0,0,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217391304,0,0,0,0,0
CoFeMo0.8NiV,SS+IM,182.0833333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208333333,0,0,0,0,0,0,0,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208333333,0,0,0,0,0
CoFeMoNi1.2V,SS+IM,183.8461538,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692,0,0,0,0,0,0,0,0.192307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692,0,0,0,0,0,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692,0,0,0,0,0
