,Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1_score,Test F1_score,Train AUC_ROC,Test AUC_ROC,Cross_Validation_Scores_for_trainset
0,Logistic Regression,0.7325757575757575,0.6649029982363316,0.7289156626506024,0.6267281105990783,0.6247848537005164,0.5551020408163265,0.6728452270620946,0.5887445887445887,0.7210527786770512,0.6517746228926353,"[0.7007575757575758, 0.6704545454545454, 0.7234848484848485, 0.7121212121212122, 0.7348484848484849]"
1,Support Vector Classifier,0.9,0.7583774250440917,0.9016100178890877,0.7307692307692307,0.8674698795180723,0.6979591836734694,0.8842105263157894,0.7139874739039667,0.8965224905032851,0.7511535048802129,"[0.7689393939393939, 0.7424242424242424, 0.8106060606060606, 0.7765151515151515, 0.8333333333333334]"
2,NuSVC,0.8772727272727273,0.7654320987654321,0.8774774774774775,0.7295081967213115,0.8382099827882961,0.726530612244898,0.8573943661971832,0.7280163599182005,0.8730968723143104,0.7607808340727595,"[0.7651515151515151, 0.7537878787878788, 0.8409090909090909, 0.7765151515151515, 0.7462121212121212]"
3,SGD Classifier,0.7045454545454546,0.673721340388007,0.799373040752351,0.7112676056338029,0.4388984509466437,0.4122448979591837,0.5666666666666667,0.5219638242894058,0.676147466339357,0.6424578527063,"[0.696969696969697, 0.6060606060606061, 0.6628787878787878, 0.7386363636363636, 0.6856060606060606]"
4,KNeighbors Classifier,0.8204545454545454,0.7477954144620811,0.8524590163934426,0.7475728155339806,0.7160068846815835,0.6285714285714286,0.7782974742750234,0.6829268292682926,0.8092889633150814,0.7335403726708075,"[0.7651515151515151, 0.7462121212121212, 0.7878787878787878, 0.7537878787878788, 0.7651515151515151]"
5,Gradient Boosting Classifier,0.9363636363636364,0.7760141093474426,0.9382716049382716,0.7478991596638656,0.9156626506024096,0.726530612244898,0.9268292682926829,0.7370600414078675,0.9341506757748177,0.770097604259095,"[0.7803030303030303, 0.7916666666666666, 0.7537878787878788, 0.7575757575757576, 0.8143939393939394]"
6,Adaboost Classifier,0.7401515151515151,0.6966490299823633,0.717948717948718,0.6514522821576764,0.6746987951807228,0.6408163265306123,0.6956521739130435,0.6460905349794239,0.7331545396742587,0.6899733806566104,"[0.7803030303030303, 0.6477272727272727, 0.7045454545454546, 0.7575757575757576, 0.7462121212121212]"
7,Random Forest Classifier,0.9424242424242424,0.763668430335097,0.9791271347248577,0.7466666666666667,0.8881239242685026,0.6857142857142857,0.9314079422382672,0.7148936170212765,0.9366194722831012,0.7543478260869565,"[0.7803030303030303, 0.7651515151515151, 0.8143939393939394, 0.7424242424242424, 0.7878787878787878]"
8,XGB Classifier,0.8992424242424243,0.7760141093474426,0.8985765124555161,0.7521367521367521,0.8691910499139415,0.7183673469387755,0.8836395450568679,0.7348643006263048,0.8960298957282834,0.7691215616681455,"[0.7803030303030303, 0.7954545454545454, 0.7651515151515151, 0.7765151515151515, 0.7916666666666666]"
9,Decision Tree Classifier,0.7840909090909091,0.6384479717813051,0.7228915662650602,0.5641025641025641,0.8261617900172117,0.7183673469387755,0.7710843373493976,0.6319569120287253,0.7885883374984569,0.6480035492457853,"[0.6553030303030303, 0.7462121212121212, 0.7234848484848485, 0.6666666666666666, 0.7234848484848485]"
10,Extra Trees Classifier,0.9151515151515152,0.7583774250440917,0.9835051546391752,0.7621359223300971,0.8209982788296041,0.6408163265306123,0.8949343339587242,0.696230598669623,0.9050864195230565,0.744321206743567,"[0.7803030303030303, 0.7651515151515151, 0.7803030303030303, 0.7462121212121212, 0.7196969696969697]"
11,Gaussian Naive Bayes,0.471969696969697,0.4691358024691358,0.45461658841940533,0.44871794871794873,1.0,1.0,0.6250672404518558,0.6194690265486726,0.5284167794316644,0.5326086956521738,"[0.5189393939393939, 0.4431818181818182, 0.4810606060606061, 0.42803030303030304, 0.48863636363636365]"
