,Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1_score,Test F1_score,Train AUC_ROC,Test AUC_ROC,Cross_Validation_Scores_for_trainset
0,Logistic Regression,0.7106060606060606,0.691358024691358,0.7284768211920529,0.6597938144329897,0.5602716468590832,0.540084388185654,0.6333973128598848,0.5939675174013921,0.6960044964801572,0.6700421940928271,"[0.6590909090909091, 0.7386363636363636, 0.696969696969697, 0.7272727272727273, 0.678030303030303]"
1,Support Vector Classifier,0.8704545454545455,0.783068783068783,0.8705673758865248,0.759090909090909,0.833616298811545,0.7046413502109705,0.8516912402428447,0.7308533916849016,0.8668765488585768,0.7720176448024549,"[0.75, 0.7992424242424242, 0.7916666666666666, 0.7613636363636364, 0.7954545454545454]"
2,NuSVC,0.8681818181818182,0.781305114638448,0.8725314183123878,0.7603686635944701,0.8251273344651953,0.6962025316455697,0.8481675392670157,0.7268722466960352,0.8640000557414895,0.769313387034906,"[0.7651515151515151, 0.7689393939393939, 0.8143939393939394, 0.7878787878787878, 0.7916666666666666]"
3,SGD Classifier,0.7015151515151515,0.6578483245149912,0.6590538336052202,0.5817490494296578,0.6859083191850595,0.6455696202531646,0.6722129783693843,0.612,0.6999993032313806,0.6561181434599157,"[0.6856060606060606, 0.6818181818181818, 0.6174242424242424, 0.6553030303030303, 0.5492424242424242]"
4,KNeighbors Classifier,0.8015151515151515,0.7619047619047619,0.805607476635514,0.7383177570093458,0.7317487266553481,0.6666666666666666,0.7669039145907472,0.7006651884700665,0.7947389324111214,0.7484848484848484,"[0.7727272727272727, 0.7575757575757576, 0.7537878787878788, 0.7651515151515151, 0.7537878787878788]"
5,Gradient Boosting Classifier,0.9871212121212121,0.7707231040564374,0.9863945578231292,0.7316017316017316,0.9847198641765704,0.7130801687763713,0.9855564995751911,0.7222222222222222,0.9868879758639351,0.7626006904487916,"[0.7765151515151515, 0.75, 0.7613636363636364, 0.7840909090909091, 0.7575757575757576]"
6,Adaboost Classifier,0.7568181818181818,0.7231040564373897,0.7537878787878788,0.6739130434782609,0.6757215619694398,0.6540084388185654,0.7126230975828111,0.6638115631691648,0.748941492339029,0.7133678557729191,"[0.7234848484848485, 0.7310606060606061, 0.6818181818181818, 0.7121212121212122, 0.7007575757575758]"
7,Random Forest Classifier,0.9333333333333333,0.7619047619047619,0.9579524680073126,0.7475728155339806,0.8896434634974533,0.6497890295358649,0.9225352112676056,0.6952595936794582,0.9290898576037199,0.7461066359800538,"[0.7916666666666666, 0.7613636363636364, 0.7462121212121212, 0.7727272727272727, 0.7840909090909091]"
8,XGB Classifier,0.9916666666666667,0.7742504409171076,0.9898305084745763,0.746606334841629,0.9915110356536503,0.6962025316455697,0.9906700593723495,0.7205240174672488,0.9916515506585625,0.7632527809743,"[0.7803030303030303, 0.7575757575757576, 0.8068181818181818, 0.7992424242424242, 0.7689393939393939]"
9,Decision Tree Classifier,0.6901515151515152,0.6507936507936508,0.6171875,0.5585585585585585,0.8047538200339559,0.7848101265822784,0.6985998526160648,0.6526315789473685,0.7012825187721079,0.6696777905638664,"[0.7045454545454546, 0.6401515151515151, 0.6325757575757576, 0.6515151515151515, 0.6439393939393939]"
10,Extra Trees Classifier,0.871969696969697,0.7389770723104057,0.9605263157894737,0.7431693989071039,0.7436332767402377,0.5738396624472574,0.8382775119617225,0.6476190476190476,0.859504736865331,0.7157077100115075,"[0.7765151515151515, 0.7992424242424242, 0.7462121212121212, 0.7196969696969697, 0.7840909090909091]"
11,Gaussian Naive Bayes,0.48333333333333334,0.455026455026455,0.4632991318074191,0.43333333333333335,0.9966044142614601,0.9873417721518988,0.6325431034482759,0.6023166023166023,0.5331859280609627,0.5300345224395858,"[0.4734848484848485, 0.44696969696969696, 0.5189393939393939, 0.48484848484848486, 0.48863636363636365]"
