,Model,Train R-square,Test R-square,Train MSE,Test MSE,Train MAE,Test MAE,Train MAPE,Test MAPE,Train Adj. R-square,Test Adj. R-square,Cross_Validation_Scores_for_trainset
0,Random Forest,0.9803658654507224,0.916079872755852,30.77148571533379,129.637681855695,2.4371093893658493,6.095345788953094,2.301759743948219,7.11189053605857,0.9781631439846676,0.8902337499163996,"[0.9357849351048252, 0.5184679762974849, 0.920392865620544, 0.9141702851066403, 0.8805452155526502]"
1,XG Boost Regressor,0.9999395417511295,0.9453244930611414,0.09475284672324641,84.46133492168725,0.08238517966011012,4.988953362122604,0.0618631349623799,5.423013633096618,0.9999327590389986,0.9284852684906184,"[0.9373173407493953, 0.9242395386807697, 0.9564811595053783, 0.9251876630296403, 0.8311612781233149]"
2,Linear Regression,0.9934418322679608,-2.846971923718255e+16,10.278251082507307,4.397929943854083e+19,0.6575153811266815,357038136.1832264,0.547729486172681,863662641.0699567,0.9927060821484384,-3.723795976270266e+16,"[-1.3503476253386608e+17, -2.424472962618562e+20, -1.2380651840869861e+20, 0.9641462511015457, -7.506209233404905e+19]"
3,Lasso Regression,0.9933450138533559,0.9967170898457631,10.429989192201852,5.071356253996419,0.6960421335774062,0.7145233061659882,0.6063017288528284,1.1603338283636775,0.9925984018341341,0.9957060034484506,"[0.8537142230661066, 0.9487173130237117, 0.9987008759805105, 0.9683686185195202, 0.9976709866356172]"
4,Ridge Regression,0.993385027337915,0.9964666605524292,10.367278286078546,5.4582130680016805,0.6474593366151901,0.6637793121298472,0.5500699791082726,1.2415376106840124,0.9926429043661299,0.9953784457415803,"[0.9607245389483577, 0.9974098429578184, 0.9558916028324357, 0.9772236685493835, 0.8662433044949465]"
5,ElasticNet Regression,0.9896090360892908,0.9899582900483315,16.28517909686516,15.512178576830614,1.4154977828253064,1.6161174172202084,1.397068781978515,2.759022490378303,0.9884432908306102,0.9868655961088442,"[0.9973824840794371, 0.9878931794555345, 0.9870009436836774, 0.9593558131266046, 0.857690508663024]"
6,KNN Regressor,0.9999094934699133,0.8975102689032184,0.14184584457825467,158.32353440964087,0.022880745646766166,7.14346001510145,0.01582524136764406,8.188778851129738,0.9998993396902222,0.8659449905045898,"[0.9087751146357991, 0.7502798102389425, 0.7777944246851463, 0.9215037222208283, 0.8840827462457024]"
